Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ASML.AS,704.3,2021/12/27,15:02 CET,1.3999634,700.0,706.4,695.4,146616,,,,,,,
B,46.27,2021/12/23,16:00 EST,0.3899994,46.08,46.57,45.97,103225,,,,,,,
BA,204.22,2021/12/23,16:00 EST,2.5299988,202.13,205.13,201.32,7415194,,,,,,,
BABA,118.66,2021/12/23,16:00 EST,0.8500061,116.8,119.59,115.39,17563254,,,,,,,
BAC,44.42,2021/12/23,16:00 EST,0.13999939,44.68,45.065,44.4,34053478,,,,,,,
BEN,33.42,2021/12/23,16:00 EST,0.54999924,33.03,33.505,32.93,942802,,,,,,,
BHC,27.99,2021/12/23,16:00 EST,0.3899994,27.71,28.1894,27.55,5398808,,,,,,,
BHP,59.92,2021/12/23,16:00 EST,0.66999817,59.61,60.21,59.42,2307118,,,,,,,
BLND.L,526.6,2021/12/24,12:35 GMT,3.5999756,528.8,529.8871,525.8,218338,,,,,,,
BRBY.L,1781.5,2021/12/24,16:45 GMT,4.5,1777.0,1790.5,1775.451,63287,,,,,,,
BRK-B,294.49,2021/12/23,16:01 EST,0.07998657,295.22,296.78,294.21,2899917,,,,,,,
BT-A.L,170.65,2021/12/24,13:02 GMT,1.949997,168.45,171.1925,168.45,2254616,,,,,,,
BTU,10.58,2021/12/23,16:00 EST,-0.32999992,11.09,11.18,10.56,2520227,,,,,,,
BX,135.0,2021/12/23,16:00 EST,4.4900055,130.82,135.5,130.37,4729746,,,,,,,
C,60.21,2021/12/23,16:01 EST,0.6100006,59.99,60.78,59.95,15223298,,,,,,,
CACC,680.0,2021/12/23,16:00 EST,9.01001,671.09,684.84,671.09,80830,,,,,,,
CAR,223.93,2021/12/23,16:00 EST,7.029999,220.99,225.81,217.34,791747,,,,,,,
CCO,3.42,2021/12/23,16:00 EST,0.01999998,3.4,3.44,3.3229,1826248,,,,,,,
CFRUY,14.68,2021/12/23,15:59 EST,0.15000057,14.53,14.73,14.53,176155,,,,,,,
CG,55.49,2021/12/23,16:00 EST,0.9300003,54.89,56.0799,54.58,1967537,,,,,,,
CGC,9.62,2021/12/23,16:00 EST,0.25,9.419,9.735,9.195,6313653,,,,,,,
CHGG,30.55,2021/12/23,16:00 EST,0.18999863,30.35,30.77,29.7,2655372,,,,,,,
CM,115.9,2021/12/23,16:00 EST,1.2399979,115.24,115.99,115.19,305196,,,,,,,
CMG,1748.67,2021/12/23,16:03 EST,4.01001,1749.3,1756.75,1732.76,149609,,,,,,,
CNA,43.78,2021/12/23,16:00 EST,0.5399971,43.58,44.095,43.58,75693,,,,,,,
CNA.L,68.98,2021/12/24,16:45 GMT,0.12000275,68.2,69.26,68.2,1949607,,,,,,,
CNX,14.02,2021/12/23,16:00 EST,0.17000008,13.64,14.09,13.64,1922537,,,,,,,
COTY,10.52,2021/12/23,16:00 EST,0.15000057,10.41,10.58,10.39,3356862,,,,,,,
